,ra,dec
0,26.108572,-6.439318
1,45.534353,-37.171315
2,42.025593,-11.286475
3,11.829991,-24.476106
4,16.885239000000002,-19.114691
5,69.961617,-22.890477
6,21.570075,-37.809098
7,342.379688,-51.244724
8,351.299344,-1.783148
9,54.517884,-31.571131
10,57.266479000000004,-29.196071000000003
11,314.393454,-48.422501000000004
12,40.799294,-29.386695
13,0.287785,-57.503674
14,21.419632999999997,-3.536368
15,352.821706,-57.913749
16,325.032212,-41.458424
17,53.914844,-40.497365
18,40.730667,-29.811048
19,325.049596,-63.94429399999999
20,22.871763,-40.087402000000004
21,13.416656,-31.199819
22,316.00178,-44.485389
23,48.505039000000004,-50.678453000000005
24,320.289252,-57.51673
25,30.727264,-0.24416500000000002
26,22.941408,-31.565136
27,53.715316,-61.308838
28,83.002154,-24.496395
29,37.508885,-0.650474
30,53.806036999999996,-30.133662
31,42.191968,-19.999773
32,39.386811,-55.369378000000005
33,48.923902000000005,-25.834213000000002
34,41.76288,-47.44401
35,313.02052599999996,-52.644974
36,40.912367,-29.02143
37,48.108614,-53.955102000000004
38,31.252336,-12.456907000000001
39,36.806067999999996,-20.651009
40,355.839276,-0.698723
41,40.931151,-6.922827000000001
42,25.791496,-5.031056
43,322.909193,-59.936933
44,46.97411,-40.63282
45,31.685935,-35.740769
46,94.810662,-56.509492
47,64.900217,-18.464705
48,89.893423,-38.890421
49,342.281967,-39.917077
50,45.22802,-37.081476
51,47.42587,-9.848495
52,328.28408199999996,-59.494341000000006
53,12.868584,-24.644071
54,13.48366,-24.074717
55,332.794712,-50.777635
56,32.565915999999994,-10.302232
57,11.988715,-55.40108299999999
58,28.334055,-3.7646620000000004
59,42.900684000000005,-34.992290000000004
60,3.2977540000000003,-59.016158999999995
61,45.604108000000004,-16.076154000000002
62,353.93381400000004,-41.514222
63,95.014487,-48.278884999999995
64,22.162793,2.35209
65,326.56315,-48.715070000000004
66,31.991756,-20.918113
67,9.667696000000001,-36.831694
68,12.667903,-4.19372
69,358.398452,-36.784915999999996
70,49.985068,-50.796405
71,33.811137,-25.330103
72,90.88145,-60.968554000000005
73,41.158759,-7.177662
74,73.217282,-17.95785
75,68.89638099999999,-21.373813000000002
76,40.66357,-8.207769
