  1 247.28273 43.67173 25.88 0.40 21.03 0.25 0.92 1.29  7.15 0.84 0.57 0.32 0.59 0.04 0.022 0.015 0.011 
  2 245.71466 43.72621 25.38 0.40 20.56 0.24 0.66 0.88  5.92 0.79 0.45 0.31 0.49 0.03 0.042 0.029 0.021 
  3 241.37654 44.33570 24.85 0.40 21.01 0.24 0.60 0.81  4.05 0.79 0.61 0.31 0.47 0.03 0.037 0.026 0.019 
  4 240.91650 43.98957 24.67 0.40 21.04 0.24 0.46 0.71  3.37 0.79 0.85 0.32 0.11 0.04 0.035 0.025 0.018 
  5 240.88005 44.10985 21.87 0.40 19.31 0.24 0.25 0.33  4.88 0.79 1.75 0.31 0.30 0.03 0.033 0.023 0.016 
  6 244.48318 44.29050 22.71 0.40 19.31 0.24 0.25 0.43  4.12 0.79 1.11 0.31 0.27 0.03 0.037 0.026 0.019 
  7 241.51961 44.69582 25.52 0.42 21.80 0.28 0.48 0.56  4.10 0.87 0.73 0.34 0.45 0.06 0.041 0.029 0.021 
  8 242.29613 44.35883 23.81 0.40 20.03 0.24 0.27 0.43  4.83 0.79 0.95 0.31 0.42 0.03 0.037 0.026 0.019 
  9 239.49328 43.96829 21.52 0.40 19.22 0.24 0.35 0.51  4.72 0.79 1.94 0.31 0.18 0.03 0.031 0.022 0.016 
 10 240.07258 43.76807 25.41 0.40 21.23 0.24 0.95 1.27  6.57 0.83 0.70 0.32 0.69 0.03 0.043 0.031 0.022 
 11 238.21761 44.40982 23.74 0.40 20.66 0.24 0.36 0.57  3.58 0.79 1.05 0.32 0.36 0.03 0.066 0.047 0.033 
 12 237.14433 43.72284 24.57 0.40 20.82 0.24 0.11 0.15  2.80 0.79 0.44 0.31 0.17 0.03 0.048 0.034 0.024 
 13 248.68965 43.07830 21.38 0.40 19.27 0.24 0.41 0.66  3.74 0.79 1.85 0.31 0.08 0.03 0.022 0.016 0.011 
 14 245.93591 43.53728 24.06 0.40 20.56 0.24 0.05 0.05  3.35 0.79 0.58 0.31 0.46 0.03 0.040 0.028 0.020 
 15 245.47276 43.55963 24.56 0.44 22.04 0.30 0.57 0.75  3.40 0.89 1.44 0.37 0.19 0.08 0.035 0.025 0.018 
 16 246.51249 43.28630 23.54 0.40 20.15 0.24 0.54 0.78  4.42 0.79 0.78 0.31 0.63 0.03 0.028 0.020 0.014 
 17 246.24037 43.05884 22.36 0.40 18.20 0.24 0.58 0.88  6.10 0.79 1.21 0.31 0.22 0.03 0.028 0.020 0.014 
 18 243.88821 42.92376 24.13 0.40 19.09 0.24 0.45 0.66 10.44 0.79 0.82 0.31 0.68 0.03 0.040 0.028 0.020 
 19 244.77355 41.97124 23.93 0.40 20.25 0.24 0.29 0.42  4.14 0.80 0.76 0.32 0.46 0.04 0.024 0.017 0.012 
 20 244.65933 42.12031 22.20 0.40 19.30 0.24 0.28 0.41  4.52 0.79 1.39 0.31 0.40 0.03 0.033 0.023 0.017 
 21 243.85392 42.54287 26.25 0.40 21.26 0.24 0.77 1.17  5.70 0.80 0.19 0.31 0.50 0.03 0.044 0.031 0.022 
 22 244.63804 43.12177 25.18 0.40 21.68 0.25 0.60 0.75  3.69 0.80 0.67 0.32 0.49 0.04 0.044 0.031 0.022 
 23 244.08937 42.38338 23.74 0.40 20.51 0.24 0.52 0.73  2.82 0.79 0.80 0.31 0.18 0.03 0.046 0.032 0.023 
 24 244.33261 42.11625 23.51 0.40 19.92 0.24 0.17 0.31  5.16 0.80 0.95 0.32 0.57 0.03 0.028 0.020 0.014 
 25 244.83857 42.25044 23.65 0.40 19.44 0.24 0.33 0.46  5.09 0.79 1.08 0.31 0.04 0.03 0.038 0.027 0.019 
 26 242.26142 42.85745 22.87 0.40 20.28 0.24 0.32 0.49  3.21 0.79 1.22 0.31 0.33 0.03 0.035 0.025 0.018 
