ra,dec,mu_0,m_tot,r_e,n,ell,g-i,g-r,A_g,A_r,A_i
338.552214133,1.14682251702,17.5999150737,21.956985489,3.5144424,5.0,0.0832868,0.761359073536,0.335615046463,0.247273769141,0.175225550604,0.125051844277
338.605008737,1.19650017221,26.7228760552,22.2189916196,7.4548488,0.708599,0.668996,0.730169738878,0.67576655992,0.246261103424,0.174507945544,0.124539716702
338.583957448,1.19711855208,27.2016552093,21.1849913757,9.1866264,0.208809,0.49644,0.709474993219,0.71364228125,0.246208291132,0.174470521182,0.124513008351
336.586686185,0.551363323868,25.2648253599,21.4661459853,3.9694704,0.826339,0.277284,0.843280077132,0.583997447924,0.163336533836,0.11574512806,0.0826029176682
335.040682522,1.53917278897,26.8018728725,22.0699401009,4.2888552,0.552239,0.0,-0.030865212241,0.269139801446,0.203398812685,0.144134450931,0.102863303044
335.762896353,1.18157210666,26.2009481917,21.8695166237,6.23742,0.630824,0.637581,0.671718456769,0.451914282741,0.200603104441,0.142153328882,0.10144945121
334.761781271,1.4639281589,24.6645048721,21.6187906166,3.9790128,1.27181,0.276306,0.643787665865,0.598602311692,0.221543625194,0.156992404986,0.112039538259
334.746360594,1.14249844216,21.2060578463,19.1669224403,4.6964736,1.81124,0.486392,0.526755824484,0.34673492782,0.221724645641,0.157120681461,0.112131084325
335.085548355,1.13358381696,16.6530588778,21.8305292292,4.1417208,5.0,0.689955,0.951328024923,0.611000587193,0.177480064998,0.125767655091,0.0897556159208
335.040864216,1.53858963845,27.185841333,21.6812571183,6.5156112,0.315292,0.322119,-0.025040287122,0.265779899487,0.203399811275,0.144135158562,0.102863808053
334.493253728,1.12583348373,26.1300601949,20.7955613458,6.3909384,0.654069,0.102559,0.700472277961,0.408008219069,0.204515741346,0.144925939815,0.103428158707
334.915116282,1.29507131079,26.582085887,21.6501293848,6.4675632,0.764529,0.293589,0.449080003551,0.428113055015,0.237902145562,0.168584539277,0.120312405813
334.365824795,0.832140535348,26.6500530993,21.8224921002,7.3125528,0.416176,0.680587,0.561858818459,0.440345300494,0.168095031509,0.119117141103,0.0850093957676
333.522898708,1.34109890441,26.6130628446,21.9983321046,6.2853336,0.604214,0.552845,0.296370315419,0.432085823312,0.100971466573,0.071551385685,0.0510635161916
330.688871037,0.97210431004,23.326885123,19.9452298865,4.9136472,1.38711,0.217241,1.27932821522,0.987161819592,0.144584113594,0.102456605086,0.0731194017094
333.596874795,1.09602568476,20.2974606739,19.4833930247,6.0202968,3.02698,0.0983292,0.894335379809,0.62657068543,0.136067402689,0.0964214103186,0.0688123115979
